Cell_ID	Cluster_PSE	Pseudotime_PSE
SLX_17313_i701_i502	1	72.65465605
SLX_14253_i708_i502	7	73.32026239
SLX_14254_i705_i505	7	73.35120468
SLX_17311_i727_i517	7	73.35972941
SLX_14255_i709_i517	7	73.38922564
SLX_14259_i715_i506	1	73.88241239
SLX_14254_i706_i506	7	74.09056418
SLX_14259_i722_i503	7	74.7651061
SLX_14255_i707_i502	7	74.79780082
SLX_14254_i705_i504	1	74.80744543
SLX_14259_i722_i505	2	74.84815456
SLX_14252_i710_i507	7	75.47332887
SLX_14255_i711_i504	7	75.48736235
SLX_14259_i712_i511	1	75.49256258
SLX_17312_i728_i516	7	75.50003535
SLX_14259_i718_i508	1	76.14912474
SLX_17313_i714_i502	1	76.21090417
SLX_14251_i711_i517	7	76.22723714
SLX_14251_i711_i505	1	76.85060805
SLX_14259_i716_i503	7	76.85919789
SLX_17311_i702_i503	7	76.88169539
SLX_17311_i718_i517	7	76.88674688
SLX_12100_i710_i502	1	76.92521644
SLX_14259_i710_i508	1	77.55341108
SLX_14251_i710_i504	7	78.23350537
SLX_14259_i705_i503	1	78.24922421
SLX_14259_i703_i508	1	78.25035854
SLX_14255_i711_i505	7	78.2943509
SLX_14259_i721_i510	7	78.29701501
SLX_14255_i707_i517	1	78.29898961
SLX_14253_i707_i502	1	78.30471896
SLX_14259_i721_i502	2	78.36367387
SLX_14253_i705_i506	1	78.95971905
SLX_14259_i718_i507	1	78.97676617
SLX_14255_i707_i503	1	78.98799214
SLX_14255_i710_i502	1	79.65245554
SLX_17311_i704_i506	2	79.68548967
SLX_14254_i706_i507	2	79.72144688
SLX_14254_i701_i503	1	80.06095029
SLX_14259_i722_i507	7	80.32904
SLX_14253_i706_i503	1	80.35471265
SLX_14253_i705_i507	7	80.35984847
SLX_14259_i704_i507	1	81.05328525
SLX_14251_i711_i504	1	81.18650614
SLX_14253_i708_i508	1	81.67128207
SLX_14252_i711_i507	1	81.71680672
SLX_14255_i712_i508	7	81.72923386
SLX_14259_i719_i510	7	81.7344841
SLX_14255_i707_i508	7	82.37802771
SLX_14253_i706_i504	1	82.41375964
SLX_14259_i721_i506	3	82.42541138
SLX_14255_i711_i503	7	82.83016478
SLX_14253_i705_i502	1	83.04690675
SLX_14259_i702_i507	1	83.05888013
SLX_14254_i701_i504	1	83.0679493
SLX_14255_i711_i507	1	83.7561316
SLX_14259_i716_i511	1	84.47117484
SLX_14253_i707_i503	3	84.49265886
SLX_14255_i710_i506	1	84.53364051
SLX_14251_i711_i506	1	84.56941861
SLX_12100_i709_i508	1	84.58015502
SLX_14259_i716_i508	3	84.61232132
SLX_17311_i715_i506	7	84.62334887
SLX_14255_i707_i507	3	84.63509814
SLX_14259_i716_i507	1	84.64721035
SLX_14252_i709_i505	1	84.66230048
SLX_14254_i703_i505	3	84.66527768
SLX_14255_i712_i504	1	84.67006358
SLX_14254_i707_i503	1	84.67886187
SLX_14259_i719_i505	7	84.68514634
SLX_14254_i701_i505	1	84.69041628
SLX_14253_i705_i517	3	84.7197361
SLX_14251_i710_i506	1	84.83061791
SLX_14259_i720_i502	7	84.86481889
SLX_12100_i709_i502	1	84.87846819
SLX_14259_i720_i510	3	84.9021082
SLX_14252_i712_i505	1	84.91336787
SLX_14254_i705_i517	3	84.9781387
